trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,1.663784,View First Crossing: 0,0,-4,-9,1.7,0,0.9511517,98.48695,0.6287782,68.40372,-0.01,-17.50207
1,1.677288,View First Crossing: 0,0,-4,-9,1.7,0,0.999738,98.54238,0.6179551,66.72134,-0.01,-17.24477
1,1.69062,View First Crossing: 0,0,-4,-9,1.7,0,1.032084,98.59311,0.6080204,63.76399,-0.01,-16.64958
1,1.703712,View First Crossing: 0,0,-4,-9,1.7,0,1.075123,98.64431,0.6015154,60.11278,-0.01,-15.88452
1,1.717121,View First Crossing: 0,0,-4,-9,1.7,0,1.135154,98.70737,0.603765,63.08129,-0.01,-16.53144
1,1.730434,View First Crossing: 0,0,-4,-9,1.7,0,1.155668,98.74634,0.5954474,70.66595,-0.01,-18.22729
1,1.74382,View First Crossing: 0,0,-4,-9,1.7,0,1.177945,98.80447,0.5879247,74.66029,-0.01,-19.07561
1,1.757072,View First Crossing: 0,0,-4,-9,1.7,0,1.1974,98.85055,0.5877811,72.94426,-0.01,-18.77399
1,1.770412,View First Crossing: 0,0,-4,-9,1.7,0,1.20139,98.88632,0.5878278,69.13179,-0.01,-17.88918
1,1.783756,View First Crossing: 0,0,-4,-9,1.7,0,1.187872,98.92281,0.5744717,74.56631,-0.01,-19.01154
1,1.797153,View First Crossing: 0,0,-4,-9,1.7,0,1.178108,98.97369,0.5619207,82.08346,-0.01,-20.6948
1,1.810574,View First Crossing: 0,0,-4,-9,1.7,0,1.160298,99.00073,0.552734,90.99997,-0.01,-22.68143
1,1.823864,View First Crossing: 0,0,-4,-9,1.7,0,1.14474,99.0204,0.5468501,85.00362,-0.01,-21.25082
1,1.837112,View First Crossing: 0,0,-4,-9,1.7,0,1.123244,99.03284,0.5446572,86.472,-0.01,-21.61536
1,1.850498,View First Crossing: 0,0,-4,-9,1.7,0,1.093986,99.03609,0.5445865,100.0023,-0.01,-24.54584
1,1.863888,View First Crossing: 0,0,-4,-9,1.7,0,1.069136,99.02913,0.5477321,106.7214,-0.01,-25.95312
1,1.877377,View First Crossing: 0,0,-4,-9,1.7,0,1.02682,99.00875,0.5430313,104.0665,-0.01,-25.35136
1,1.891045,View First Crossing: 0,0,-4,-9,1.7,0,1.003993,98.98692,0.5445248,110.2068,-0.01,-26.67742
1,1.903854,View First Crossing: 0,0,-4,-9,1.7,0,0.9877346,98.95337,0.5481842,125.2957,-0.01,-29.44137
1,1.917198,View First Crossing: 0,0,-4,-9,1.7,0,0.9848397,98.91784,0.5536612,165.9934,-0.01,-31.64003
1,1.930595,View First Crossing: 0,0,-4,-9,1.7,0,0.9670878,98.86797,0.5562549,794.4664,-0.01,-100.7602
1,1.943958,View First Crossing: 0,0,-4,-9,1.7,0,0.9738534,98.82545,0.5706948,794.4664,-0.01,-100.7602
1,1.957325,View First Crossing: 0,0,-4,-9,1.7,0,0.9755723,98.77293,0.6044585,794.4664,-0.01,-100.7602
1,1.970623,View First Crossing: 0,0,-4,-9,1.7,0,0.9672765,98.69785,0.6415917,794.4664,-0.01,-100.7602
1,1.983974,View First Crossing: 0,0,-4,-9,1.7,0,0.9686918,98.62968,0.6633011,794.4664,-0.01,-100.7602
1,1.997246,View First Crossing: 0,0,-4,-9,1.7,0,0.9832613,98.57336,0.6793858,794.4664,-0.01,-100.7602
1,2.010727,View First Crossing: 0,0,-4,-9,1.7,0,0.9971839,98.51199,0.6942249,794.4664,-0.01,-100.7602
1,2.023998,View First Crossing: 0,0,-4,-9,1.7,0,1.011074,98.45166,0.7096225,794.4664,-0.01,-100.7602
1,2.037312,View First Crossing: 0,0,-4,-9,1.7,0,1.024103,98.38687,0.7063046,628.8301,-0.01,-40.0901
1,2.0508,View First Crossing: 0,0,-4,-9,1.7,0,1.026119,98.33817,0.7051355,635.3333,-0.01,-40.46065
1,2.06403,View First Crossing: 0,0,-4,-9,1.7,0,1.035781,98.28819,0.7172019,635.3333,-0.01,-40.46065
1,2.0774,View First Crossing: 0,0,-4,-9,1.7,0,1.036994,98.24293,0.7285749,635.3333,-0.01,-40.46065
1,2.090885,View First Crossing: 0,0,-4,-9,1.7,0,1.044268,98.19123,0.7439172,635.3333,-0.01,-40.46065
1,2.10424,View First Crossing: 0,0,-4,-9,1.7,0,1.048478,98.12276,0.777557,661.7852,-0.01,-41.66899
1,2.117382,View First Crossing: 0,0,-4,-9,1.7,0,1.085867,98.0443,0.8120118,586.5397,-0.01,-36.93031
1,2.13073,View First Crossing: 0,0,-4,-9,1.7,0,1.083863,97.95323,0.8209758,788.4902,-0.01,-48.7006
1,2.144966,View First Crossing: 0,0,-4,-9,1.7,0,1.087977,97.85314,0.8304233,788.4902,-0.01,-48.7006
1,2.157658,View First Crossing: 0,0,-4,-9,1.7,0,1.075554,97.73623,0.8301449,788.4902,-0.01,-48.7006
1,2.170864,View First Crossing: 0,0,-4,-9,1.7,0,1.055267,97.60341,0.8331839,570.574,-0.01,-30.70741
1,2.184227,View First Crossing: 0,0,-4,-9,1.7,0,1.034292,97.46597,0.8348199,570.574,-0.01,-30.70741
1,2.19762,View First Crossing: 0,0,-4,-9,1.7,0,1.021361,97.30315,0.8328205,570.574,-0.01,-30.70741
1,2.211025,View First Crossing: 0,0,-4,-9,1.7,0,1.023858,97.13289,0.8305773,682.6451,-0.01,44.93628
1,2.224224,View First Crossing: 0,0,-4,-9,1.7,0,1.0332,96.95175,0.8330805,672.3787,-0.01,46.29995
1,2.237419,View First Crossing: 0,0,-4,-9,1.7,0,1.043113,96.72974,0.8383134,527.5153,-0.01,44.4006
1,2.250828,View First Crossing: 0,0,-4,-9,1.7,0,1.058301,96.48373,0.8325551,527.5153,-0.01,44.4006
1,2.264172,View First Crossing: 0,0,-4,-9,1.7,0,1.077581,96.21137,0.8299005,527.5153,-0.01,44.4006
1,2.277515,View First Crossing: 0,0,-4,-9,1.7,0,1.082109,95.91479,0.802536,527.5153,-0.01,44.4006
1,2.290928,View First Crossing: 0,0,-4,-9,1.7,0,1.105618,95.57337,0.774921,527.5153,-0.01,44.4006
1,2.304455,View First Crossing: 0,0,-4,-9,1.7,0,1.10787,95.21204,0.7435901,527.5153,-0.01,44.4006
1,2.317772,View First Crossing: 0,0,-4,-9,1.7,0,1.142032,94.81579,0.7093387,527.5153,-0.01,44.4006
1,2.330933,View First Crossing: 0,0,-4,-9,1.7,0,1.151247,94.37738,0.6694001,221.315,-0.01,25.97823
1,2.344231,View First Crossing: 0,0,-4,-9,1.7,0,1.174441,93.95553,0.6411943,221.315,-0.01,25.97823
1,2.35767,View First Crossing: 0,0,-4,-9,1.7,0,1.197567,93.55328,0.6010239,237.8273,-0.01,30.37315
1,2.37104,View First Crossing: 0,0,-4,-9,1.7,0,1.220401,93.17109,0.5562741,208.4314,-0.01,26.91995
1,2.384296,View First Crossing: 0,0,-4,-9,1.7,0,1.246566,92.80671,0.5299824,210.8257,-0.01,27.01076
1,2.397736,View First Crossing: 0,0,-4,-9,1.7,0,1.317912,92.45076,0.5427954,162.2321,-0.01,20.72793
1,2.411053,View First Crossing: 0,0,-4,-9,1.7,0,1.446935,92.10899,0.6098287,148.5623,-0.01,18.52013
1,2.424446,View First Crossing: 0,0,-4,-9,1.7,0,1.557219,91.77897,0.6821141,118.8063,-0.01,15.76797
1,2.437813,View First Crossing: 0,0,-4,-9,1.7,0,1.615671,91.4471,0.7345621,100.984,-0.01,13.30288
1,2.450985,View First Crossing: 0,0,-4,-9,1.7,0,1.635743,91.09367,0.7621757,98.91307,-0.01,12.75592
1,2.464397,View First Crossing: 0,0,-4,-9,1.7,0,1.661916,90.7636,0.8017451,98.06852,-0.01,12.41386
1,2.477764,View First Crossing: 0,0,-4,-9,1.7,0,1.668645,90.44897,0.847479,116.219,-0.01,14.52997
1,2.491135,View First Crossing: 0,0,-4,-9,1.7,0,1.645585,90.16896,0.9064928,136.5033,-0.01,16.80132
1,2.504398,View First Crossing: 0,0,-4,-9,1.7,0,1.596274,89.91273,0.9539566,139.996,-0.01,17.94905
1,2.517979,View First Crossing: 0,0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,190.9068,-0.01,23.77425
1,2.53088,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,233.9309,-0.01,28.30964
1,2.544128,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,200.1594,-0.01,23.0971
1,2.558918,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,200.1594,-0.01,23.0971
1,2.572399,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,200.1594,-0.01,23.0971
1,2.585598,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,217.3156,-0.01,22.48797
1,2.598866,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,199.0622,-0.01,19.99319
1,2.612076,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,218.2582,-0.01,21.04455
1,2.625309,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,218.2582,-0.01,21.04455
1,2.638641,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,218.2582,-0.01,21.04455
1,2.651772,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,647.4418,-0.01,27.27602
1,2.665157,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,226.5187,-0.01,-3.722869
1,2.679371,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,130.4778,-0.01,-7.418977
1,2.691826,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,102.3351,-0.01,-7.979341
1,2.705063,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,102.3351,-0.01,-7.979341
1,2.718651,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,76.12943,-0.01,-6.957572
1,2.732033,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,69.05538,-0.01,-6.743644
1,2.745136,Waiting for user choice (Blackscreen 2),0,-4,-9,1.7,0,1.561984,89.6789,0.9979466,64.45007,-0.01,-6.482606
